event_id,batch,track_name,beat_start,beat_duration,bar_index,section,source_row_start,source_row_end,pitch_midi,pitch_name,velocity,channel,program,scale,register_signal,motion_signal,direction_signal,direction_local_average,direction,scale_steps,tension_signal,growth_mass,leaf_energy,root_energy,vitality,growth_speed
72,R1,R1_marimba,128.0,1.0,33,growth,12800,12899,57,A3,58,0,12,D dorian,0.4352296319020194,0.03381586579677692,0.32881118644840934,0.3277689652619268,1,2,0.5190958429849304,0.32881118644840934,0.4352296319020194,0.5190958429849304,0.2666942201114089,0.03381586579677692
274,R2,R2_harp,128.0,1.0,33,growth,12800,12899,69,A4,73,1,46,D dorian,0.4045181815908842,0.002732727470576263,0.366567793474644,0.3654789525042125,1,2,0.527557521860971,0.366567793474644,0.4045181815908842,0.527557521860971,0.444648129548232,0.002732727470576263
478,R3,R3_celesta,128.0,1.5,33,growth,12800,12899,72,C5,80,2,8,D dorian,0.5546033599325045,0.002081215806769488,0.7745784821564197,0.7755236819082221,-1,2,0.7687816861122665,0.7745784821564197,0.5546033599325045,0.7687816861122665,0.5185054872104733,0.002081215806769488
275,R2,R2_harp,129.0,1.0,33,growth,12900,12999,64,E4,73,1,46,D dorian,0.40457274788657865,0.0006377041933575757,0.36544410622266443,0.3655517401788886,-1,2,0.5274040182612778,0.36544410622266443,0.40457274788657865,0.5274040182612778,0.444637685325491,0.0006377041933575757
479,R3,R3_celesta,129.0,1.5,33,growth,12900,12999,71,B4,80,2,8,D dorian,0.554158207806599,0.01527204012100717,0.7753243160932852,0.775391799015002,-1,2,0.768800646493703,0.7753243160932852,0.554158207806599,0.768800646493703,0.5185126689040791,0.01527204012100717
73,R1,R1_marimba,131.0,1.0,33,growth,13100,13199,59,B3,58,0,12,D dorian,0.4351123883448212,0.020756401884363795,0.32905153627575134,0.32755252376687916,1,2,0.5192376602085986,0.32905153627575134,0.4351123883448212,0.5192376602085986,0.26668374729637384,0.020756401884363795
276,R2,R2_harp,131.0,1.0,33,growth,13100,13199,60,C4,73,1,46,D dorian,0.40484988134410294,0.001635815978344514,0.3649954205011011,0.36575949449269163,-1,2,0.527315374567073,0.3649954205011011,0.40484988134410294,0.527315374567073,0.44464708909173556,0.001635815978344514
277,R2,R2_harp,132.0,1.0,34,growth,13200,13299,65,F4,73,1,46,D dorian,0.40445927797673675,0.002892502757450567,0.3662709930404266,0.3656022210022536,1,2,0.5274094748759718,0.3662709930404266,0.40445927797673675,0.5274094748759718,0.4446409264474891,0.002892502757450567
480,R3,R3_celesta,132.0,1.5,34,growth,13200,13299,76,E5,80,2,8,D dorian,0.5541528869268866,0.004197450008126756,0.7758225949556874,0.7755527143611557,1,2,0.7687947803874366,0.7758225949556874,0.5541528869268866,0.7687947803874366,0.5184816510472605,0.004197450008126756
74,R1,R1_marimba,133.0,1.0,34,growth,13300,13399,53,F3,58,0,12,D dorian,0.43538864127006494,0.01401569864178498,0.3265354292555636,0.3275445000813978,-1,2,0.519317924895691,0.3265354292555636,0.43538864127006494,0.519317924895691,0.2666613548709276,0.01401569864178498
278,R2,R2_harp,133.0,1.0,34,growth,13300,13399,67,G4,73,1,46,D dorian,0.4046050817038441,0.00499979856842434,0.36612840265408325,0.36548725925515835,1,2,0.5273327049632874,0.36612840265408325,0.4046050817038441,0.5273327049632874,0.4446489148616853,0.00499979856842434
481,R3,R3_celesta,133.0,1.5,34,growth,13300,13399,72,C5,80,2,8,D dorian,0.5545208245752842,0.00896911686825415,0.7745827560982204,0.7755193987182657,-1,2,0.7688064776512867,0.7745827560982204,0.5545208245752842,0.7688064776512867,0.5185139914444554,0.00896911686825415
75,R1,R1_marimba,134.0,1.0,34,growth,13400,13499,57,A3,58,0,12,D dorian,0.435403550978611,0.001278497153972781,0.32848291162193277,0.3276147219860815,1,2,0.5192591634304817,0.32848291162193277,0.435403550978611,0.5192591634304817,0.26666262077246095,0.001278497153972781
482,R3,R3_celesta,134.0,1.5,34,growth,13400,13499,77,F5,80,2,8,D dorian,0.5543178588574239,0.011624918098505207,0.7758292801891782,0.7754949681458226,1,2,0.7687748061610419,0.7758292801891782,0.5543178588574239,0.7687748061610419,0.5185097162414506,0.011624918098505207
76,R1,R1_marimba,135.0,1.0,34,growth,13500,13599,52,E3,58,0,12,D dorian,0.4353084849317128,0.0030929397359129272,0.32677741058608073,0.3278837188397928,-1,2,0.5193516173634338,0.32677741058608073,0.4353084849317128,0.5193516173634338,0.26664411056239,0.0030929397359129272
483,R3,R3_celesta,135.0,1.5,34,growth,13500,13599,79,G5,80,2,8,D dorian,0.5541532033670438,0.014609247924953654,0.7766968741838751,0.7753084400577775,1,2,0.7687784919914212,0.7766968741838751,0.5541532033670438,0.7687784919914212,0.5185017594981497,0.014609247924953654
279,R2,R2_harp,136.0,1.0,35,growth,13600,13699,62,D4,73,1,46,D dorian,0.40445897153486055,0.0,0.3653878106466912,0.3657704994072134,-1,2,0.5273822541289426,0.3653878106466912,0.40445897153486055,0.5273822541289426,0.44461885773772236,0.0
484,R3,R3_celesta,136.0,1.5,35,growth,13600,13699,81,A5,80,2,8,D dorian,0.5543517109281866,0.0043650099714321175,0.7763352633885257,0.7752155602303084,1,2,0.7687793759220215,0.7763352633885257,0.5543517109281866,0.7687793759220215,0.5184561532454749,0.0043650099714321175
77,R1,R1_marimba,137.0,1.0,35,growth,13700,13799,57,A3,58,0,12,D dorian,0.43490267587900344,0.007327837864043823,0.32786142496883336,0.32714597271838497,1,2,0.5191375316016127,0.32786142496883336,0.43490267587900344,0.5191375316016127,0.26664570867738635,0.007327837864043823
280,R2,R2_harp,137.0,1.0,35,growth,13700,13799,60,C4,73,1,46,D dorian,0.40441773945856385,0.004304005695840313,0.3655331377507872,0.3657258208782761,-1,2,0.5275026815849005,0.3655331377507872,0.40441773945856385,0.5275026815849005,0.4446414855461271,0.004304005695840313
78,R1,R1_marimba,138.0,1.0,35,growth,13800,13899,59,B3,58,0,12,D dorian,0.4352114995193611,0.01577881526373602,0.3274939368050896,0.3270839016077415,1,2,0.5193076342470035,0.3274939368050896,0.4352114995193611,0.5193076342470035,0.2666791045284922,0.01577881526373602
281,R2,R2_harp,138.0,1.0,35,growth,13800,13899,65,F4,73,1,46,D dorian,0.40430847196091213,0.0021437365511218134,0.36613748874019625,0.36568727170309256,1,2,0.5273688676305633,0.36613748874019625,0.40430847196091213,0.5273688676305633,0.44468505851042206,0.0021437365511218134
