batch,beat_start,beat_duration,pitch_midi,velocity,section
R3,199.0,0.24838821876787462,62,71,bloom
R1,199.5,0.31570917572360224,50,79,bloom
R2,199.5,0.2742270733265325,57,71,bloom
R3,199.5,0.24838821876787462,62,71,bloom
R1,199.75,0.31570917572360224,50,79,bloom
R2,199.75,0.2742270733265325,57,71,bloom
R3,199.75,0.24838821876787462,62,71,bloom
R1,200.0,0.3391127751559605,60,82,bloom
R2,200.0,0.3161515052416647,69,78,bloom
R3,200.0,0.2672057444686097,72,77,bloom
R1,200.5,0.3391127751559605,62,82,bloom
R2,200.5,0.3161515052416647,77,78,bloom
R3,200.5,0.2672057444686097,79,77,bloom
R1,200.75,0.3391127751559605,67,82,bloom
R2,200.75,0.3161515052416647,79,78,bloom
R3,200.75,0.2672057444686097,84,77,bloom
R1,201.0,0.33918685554013195,69,84,bloom
R2,201.0,0.31605831439359966,79,83,bloom
R3,201.0,0.26731919754823935,84,83,bloom
R1,201.5,0.33918685554013195,72,84,bloom
R2,201.5,0.31605831439359966,79,83,bloom
R3,201.5,0.26731919754823935,84,83,bloom
R1,201.75,0.33918685554013195,72,84,bloom
R2,201.75,0.31605831439359966,79,83,bloom
R3,201.75,0.26731919754823935,84,83,bloom
R1,202.0,0.3391893402848596,72,84,bloom
R2,202.0,0.31624961823147085,79,83,bloom
R3,202.0,0.26708392561688526,84,83,bloom
R1,202.5,0.3391893402848596,72,84,bloom
R2,202.5,0.31624961823147085,79,83,bloom
R3,202.5,0.26708392561688526,84,83,bloom
R1,202.75,0.3391893402848596,72,84,bloom
R2,202.75,0.31624961823147085,79,83,bloom
R3,202.75,0.26708392561688526,84,83,bloom
R2,203.0,1.0,79,83,bloom
R3,205.0,1.0,79,83,bloom
R2,206.0,1.0,79,83,bloom
R3,206.0,1.0,74,83,bloom
R3,207.0,1.0,74,83,bloom
R3,208.0,1.0,72,83,bloom
R2,209.0,1.0,79,83,bloom
R3,209.0,1.0,69,83,bloom
R1,210.0,1.5,67,84,bloom
R2,210.0,1.0,74,83,bloom
R3,210.0,1.0,74,83,bloom
R1,211.0,1.5,60,84,bloom
R2,211.0,1.0,69,83,bloom
R2,212.0,1.0,72,83,bloom
R3,212.0,1.0,69,83,bloom
R2,214.0,1.0,67,83,bloom
R3,215.0,1.0,69,83,bloom
R1,216.0,1.5,55,84,bloom
R2,216.0,1.0,72,83,bloom
R3,216.0,1.0,69,83,bloom
R2,217.0,1.0,72,83,bloom
R1,218.0,1.5,55,84,bloom
R2,218.0,1.0,67,83,bloom
R1,220.0,1.5,60,84,bloom
R1,221.0,1.5,60,84,bloom
R2,221.0,1.0,72,83,bloom
R3,221.0,1.0,69,83,bloom
R1,222.0,1.5,60,84,bloom
R2,222.0,1.0,69,83,bloom
R1,223.0,1.5,55,84,bloom
R2,223.0,1.0,72,83,bloom
R2,224.0,1.0,69,83,bloom
R3,224.0,1.0,74,83,bloom
R1,225.0,1.5,55,84,bloom
R3,225.0,1.0,72,83,bloom
R1,226.0,1.5,55,84,bloom
R2,226.0,1.0,67,83,bloom
